price_actual,total_renewable_energy
28.01,17924
25.86,18317
21.32,17541
23.02,17072
20.99,16709
21,16851
21.7,17045
25.12,17516
28.43,18579
28,20038
29.18,22313
28.33,23860
26.19,24573
26.53,24651
23.29,24613
18.73,23237
18.89,22181
18.9,21306
38.77,20131
57.56,19863
63.78,20370
60.32,20260
55.86,19715
41.03,19183
37.23,19294
23.88,19245
18.34,18387
17.71,18491
17.69,18726
19.9,19208
37.72,19708
46.04,20029
51.37,19994
62.07,21435
68.1,22303
63.72,23198
62.3,23437
55.5,23327
42.98,24035
42.58,24908
42.9,24492
45.69,23790
52.72,22693
64.5,23214
65.02,23793
56.52,23465
42.56,22237
39.27,21565
25.38,21449
18.21,21395
17.19,21003
17.73,20398
17.52,19586
17.42,19840
31.26,20025
43.28,19840
45.25,21192
51.94,22987
51.02,24563
47.17,25915
45.18,26645
41.87,26625
39.88,25834
40.17,25553
40.28,24359
42.81,24333
57.2,23395
68.69,23285
73.26,23407
65.25,22582
53.6,20804
47.73,19170
43.03,17800
37.56,17588
31.11,17486
23.86,17867
23.69,18300
27.47,18392
37.5,18169
52.3,19091
53.59,20405
61.12,22072
60.95,23590
56.81,24238
55.46,25056
49.11,24548
42.69,23047
42.24,22750
47.78,22679
51.75,23136
61.64,21936
71.53,22529
73.11,22538
62.27,22473
51.75,20965
51.41,18875
45.32,17695
37.72,17762
34.11,18059
32.83,18350
32.45,18178
33.47,17900
42.98,17097
51.4,18058
59.54,19064
63.24,19907
67.12,20761
62.73,21555
61.92,21701
57.57,21291
53.8,21190
52.91,21069
55.69,20140
56.59,19903
68.7,18866
79.19,19443
75.78,19404
68.65,19385
58.94,18776
55.47,17168
53.11,16992
40.36,17494
35.67,18363
34.58,19196
34.95,19572
36.71,19466
39.88,18244
53.74,18220
57.48,18734
57.68,20585
61.57,21944
60.89,22447
61.05,22725
56.79,22594
53.26,22140
53.11,22147
53.91,22161
53.96,22472
63.51,20563
70.46,19687
72.42,19550
68.14,19359
60.2,18597
57.45,16896
44.8,15432
40.81,14501
37.87,13781
37.19,13684
36.6,14049
36.56,14404
38.7,14754
38.01,14900
41.43,15492
45.59,16719
52.93,17672
52.83,19023
52.47,20023
53.71,20433
47.34,20242
43.04,20190
43.34,19973
46.55,18951
60.34,17233
60.83,17345
62.87,17962
60.42,18165
50.83,18024
45.53,16428
47.6,8127
40.01,7009
37.79,6627
33.06,6608
29.65,6724
31.25,6871
33.55,7177
31.95,6918
37.89,7017
40.43,8449
36.44,10326
41.68,11538
43.39,11071
39.68,10837
39.33,10817
30.69,10957
28.13,10545
33.68,10024
39.34,11298
51.94,12228
56.16,12785
53.65,13085
49.01,11928
42.7,10639
34.12,17731
29.43,18432
27.86,18846
27.75,18498
27.27,18264
34.11,18747
42.74,18623
53.61,17995
58.5,17911
61.2,18701
61.88,19742
60.71,20004
60.53,19744
60.32,19698
58.87,19694
57.3,19393
57.92,18636
59.1,18153
71.86,18216
90.02,19853
96.78,19145
92.2,18468
65.96,18482
61.04,17505
63.49,9899
59.33,9792
55.6,9282
52.4,9180
50.28,9300
54.7,9499
59.88,9602
64.81,11203
73.49,12316
75.85,13301
73.66,14344
70.67,14945
69.34,15049
68.57,15111
64.58,14594
62.87,14335
62.75,14055
67.89,13663
72.35,13123
83.8,14234
85.73,14359
76.26,13837
65.45,13154
59.46,12334
55.15,12385
51.51,11326
48.66,10558
44.36,10444
36.33,10074
34.88,9537
39.21,8878
42.29,8567
53.33,8249
53.95,9127
53.67,10476
52.27,11421
47.92,12112
51.03,12841
43.89,13241
41.31,12971
41.79,13458
44.57,13759
48.15,12690
60.11,12668
63.03,13396
60.11,14421
48.34,14309
40.19,13805
27.68,12803
20.42,12959
17.38,12909
17.91,12816
16.81,13255
17.21,13144
25.65,12916
31.22,12553
41.38,11836
43.42,11486
43.8,11323
41.88,11331
42.23,11831
42.12,12066
40.86,11911
41.22,11460
42.62,11268
48.32,10784
55.97,9649
69.69,8528
72.97,8580
69.04,10209
55.43,10125
52.7,9105
49.65,9221
46.44,8674
41.37,8695
39.41,8476
38.79,8112
45.04,7304
53.2,7008
61.94,7529
67.38,9552
72.79,11498
70.29,12958
66.52,13796
61.57,14538
61.64,14677
60.3,14106
56.71,14018
56.63,13851
59.13,13477
73.1,12923
81.22,12387
89.34,11350
80.93,11099
64.63,10815
62.04,9910
58.1,9223
54.75,8296
52.54,8433
48.41,9205
46.14,9590
45.82,9626
48.03,9358
50.8,9000
56.56,10294
59.12,12427
58.44,14617
56.53,16094
56.96,17410
57.45,17956
56.71,18015
55.29,18365
53.84,18377
53.85,18143
61.57,17173
74.22,15668
76.95,14083
75.9,12918
63.52,12709
57.03,11219
60.68,8230
57.53,7608
54.14,7134
50.17,6754
48.47,6376
48.21,6315
48.36,6216
47.5,5989
50.63,6973
50.16,8588
51.4,10058
54.79,11124
54.86,12281
53.9,13058
49.51,13117
44.29,12795
39.66,12544
40.8,12156
49.46,11666
57.14,10733
63.13,10335
62.17,10798
55.98,10191
50.79,8731
50.24,9296
48.28,8562
44.09,8320
40.06,8261
39.54,8184
44.24,8122
54.7,7797
60.05,8161
68.44,8730
65.91,9700
62.87,11163
61.8,12105
61.81,12820
61.71,13015
58.07,12759
56.67,12545
56.56,12558
57.32,12340
63.7,11664
75.39,11101
75.2,11441
73.97,11351
62.26,9978
56.26,9176
57.44,6843
54.18,6068
52.59,6001
50.83,6156
51.24,6072
53.29,5770
56.77,5611
62.29,5545
70.79,5162
71.31,5854
69.56,6998
67.62,7371
66.65,8041
66.49,8622
61.08,8010
59.01,7400
59.46,7200
60.85,6768
71.2,6194
82.65,6269
86.2,7645
84.94,7995
71.02,6998
64.36,6313
57.38,12190
53.27,12827
50.16,12862
48.67,13502
48.72,14292
49.4,14171
54.72,14565
60.48,14367
67.97,14720
69.25,15062
64.15,15048
62.28,15201
60.09,14813
59.46,14434
57.53,13770
55.72,12749
54.67,12163
56.26,12626
66.23,13591
74.99,12875
75.79,11997
71.74,11204
63.78,9923
58.72,7837
57.81,5305
52.44,5399
50.45,5964
49.7,6880
49.84,7221
51.33,7601
56.71,7419
62.97,6992
68.96,7848
66.55,9189
62.8,9790
59.72,10195
59.63,10405
59.43,10358
55.22,10218
51.34,10197
50.31,9378
54.55,8352
69.5,9020
73.25,9654
73.84,9366
68.94,8785
56.99,7533
53.4,6111
47.99,14836
41.05,14468
39.39,14136
39.27,13582
40.36,13896
41.82,14287
50.58,14361
52.69,13997
57.27,15525
58.97,16875
56.56,18037
55.67,18637
56.32,18594
54.86,17715
55.65,16397
53.76,15866
54.25,15466
55.46,15233
56.31,15788
65.81,16989
66.97,17352
62.91,16633
57.94,15549
57.65,14075
53.56,13636
51.06,12607
47.59,12697
46.54,12094
43.6,12111
45.6,12443
49.02,12523
47.7,12114
51.74,12093
53.36,13115
51.96,14743
50.71,16167
51.12,16670
50.49,16848
48.38,16722
43.49,17228
42.37,17611
46.73,17010
55.14,16499
63.06,16430
63.83,16768
61.44,16042
58.05,15503
55.41,14497
53.84,12653
52.95,11092
48.91,10109
44.66,9908
43.25,9500
42.62,9197
42.94,9420
44.05,9387
47.08,10212
52.13,11001
52.35,12249
54.12,12787
54.99,13080
55.24,12928
54.5,12590
